24,2,0.39344262295081966,Agent35@1,(Offer  bid:Bid[Price: 1400, Hard: 215, Screen: 15])
25,1,0.4098360655737705,BoulwareNegotiationParty@0,(Offer  bid:Bid[Price: 1000, Hard: 1024, Screen: 17])
25,2,0.4098360655737705,Agent35@1,(Offer  bid:Bid[Price: 1400, Hard: 215, Screen: 15])
26,1,0.4262295081967213,BoulwareNegotiationParty@0,(Offer  bid:Bid[Price: 1000, Hard: 1024, Screen: 17])
26,2,0.4262295081967213,Agent35@1,(Offer  bid:Bid[Price: 1400, Hard: 215, Screen: 15])
27,1,0.4426229508196721,BoulwareNegotiationParty@0,(Offer  bid:Bid[Price: 1000, Hard: 1024, Screen: 17])
27,2,0.4426229508196721,Agent35@1,(Offer  bid:Bid[Price: 1400, Hard: 215, Screen: 15])
28,1,0.45901639344262296,BoulwareNegotiationParty@0,(Offer  bid:Bid[Price: 1000, Hard: 1024, Screen: 17])
28,2,0.45901639344262296,Agent35@1,(Offer  bid:Bid[Price: 1400, Hard: 215, Screen: 15])
29,1,0.47540983606557374,BoulwareNegotiationParty@0,(Offer  bid:Bid[Price: 1000, Hard: 1024, Screen: 17])
29,2,0.47540983606557374,Agent35@1,(Offer  bid:Bid[Price: 1400, Hard: 215, Screen: 15])
30,1,0.4918032786885246,BoulwareNegotiationParty@0,(Offer  bid:Bid[Price: 1000, Hard: 1024, Screen: 17])
30,2,0.4918032786885246,Agent35@1,(Offer  bid:Bid[Price: 1400, Hard: 215, Screen: 15])
31,1,0.5081967213114754,BoulwareNegotiationParty@0,(Offer  bid:Bid[Price: 1000, Hard: 1024, Screen: 17])
31,2,0.5081967213114754,Agent35@1,(Offer  bid:Bid[Price: 1400, Hard: 215, Screen: 15])
32,1,0.5245901639344263,BoulwareNegotiationParty@0,(Offer  bid:Bid[Price: 1000, Hard: 1024, Screen: 17])
32,2,0.5245901639344263,Agent35@1,(Offer  bid:Bid[Price: 1400, Hard: 215, Screen: 15])
33,1,0.5409836065573771,BoulwareNegotiationParty@0,(Offer  bid:Bid[Price: 1000, Hard: 1024, Screen: 17])
33,2,0.5409836065573771,Agent35@1,(Offer  bid:Bid[Price: 1400, Hard: 215, Screen: 15])
34,1,0.5573770491803278,BoulwareNegotiationParty@0,(Offer  bid:Bid[Price: 1000, Hard: 1024, Screen: 17])
34,2,0.5573770491803278,Agent35@1,(Offer  bid:Bid[Price: 1400, Hard: 215, Screen: 15])
35,1,0.5737704918032787,BoulwareNegotiationParty@0,(Offer  bid:Bid[Price: 1000, Hard: 1024, Screen: 17])
35,2,0.5737704918032787,Agent35@1,(Offer  bid:Bid[Price: 1400, Hard: 215, Screen: 15])
36,1,0.5901639344262295,BoulwareNegotiationParty@0,(Offer  bid:Bid[Price: 1000, Hard: 1024, Screen: 17])
36,2,0.5901639344262295,Agent35@1,(Offer  bid:Bid[Price: 1400, Hard: 215, Screen: 15])
37,1,0.6065573770491803,BoulwareNegotiationParty@0,(Offer  bid:Bid[Price: 1000, Hard: 1024, Screen: 17])
37,2,0.6065573770491803,Agent35@1,(Offer  bid:Bid[Price: 1400, Hard: 215, Screen: 15])
38,1,0.6229508196721312,BoulwareNegotiationParty@0,(Offer  bid:Bid[Price: 1000, Hard: 512, Screen: 17])
38,2,0.6229508196721312,Agent35@1,(Offer  bid:Bid[Price: 1400, Hard: 215, Screen: 15])
39,1,0.639344262295082,BoulwareNegotiationParty@0,(Offer  bid:Bid[Price: 1000, Hard: 512, Screen: 17])
39,2,0.639344262295082,Agent35@1,(Offer  bid:Bid[Price: 1400, Hard: 215, Screen: 15])
40,1,0.6557377049180327,BoulwareNegotiationParty@0,(Offer  bid:Bid[Price: 1000, Hard: 512, Screen: 17])
40,2,0.6557377049180327,Agent35@1,(Offer  bid:Bid[Price: 1400, Hard: 215, Screen: 15])
41,1,0.6721311475409836,BoulwareNegotiationParty@0,(Offer  bid:Bid[Price: 1000, Hard: 512, Screen: 17])
41,2,0.6721311475409836,Agent35@1,(Offer  bid:Bid[Price: 1400, Hard: 215, Screen: 15])
42,1,0.6885245901639344,BoulwareNegotiationParty@0,(Offer  bid:Bid[Price: 1000, Hard: 512, Screen: 17])
42,2,0.6885245901639344,Agent35@1,(Offer  bid:Bid[Price: 1400, Hard: 215, Screen: 15])
43,1,0.7049180327868853,BoulwareNegotiationParty@0,(Offer  bid:Bid[Price: 1000, Hard: 512, Screen: 17])
43,2,0.7049180327868853,Agent35@1,(Offer  bid:Bid[Price: 1400, Hard: 215, Screen: 15])
44,1,0.7213114754098361,BoulwareNegotiationParty@0,(Offer  bid:Bid[Price: 1200, Hard: 1024, Screen: 17])
44,2,0.7213114754098361,Agent35@1,(Offer  bid:Bid[Price: 1400, Hard: 215, Screen: 15])
45,1,0.7377049180327869,BoulwareNegotiationParty@0,(Offer  bid:Bid[Price: 1200, Hard: 1024, Screen: 17])
